scan_id,broker,pair,rate_type,qty,buy,sell
000000001,InternetowyKantor,EURPLN,unit price,1,46711,47011
000000001,InternetowyKantor,CHFPLN,unit price,1,47692,48092
000000001,InternetowyKantor,USDPLN,unit price,1,44964,45264
000000001,InternetowyKantor,GBPPLN,unit price,1,53461,53861
000000001,InternetowyKantor,NOKPLN,unit price,1,4507,4567
000000001,Cinkciarz,CHFPLN,50K price,1,47645,47903
000000001,Cinkciarz,EURPLN,50K price,1,46705,46969
000000001,Cinkciarz,GBPPLN,50K price,1,53502,53797
000000001,Cinkciarz,USDPLN,50K price,1,44964,45224
000000001,Cinkciarz,NOKPLN,50K price,1,4504,4565
000000001,Cinkciarz,CHFPLN,unit price,1,47581,47972
000000001,Cinkciarz,EURPLN,unit price,1,46646,47035
000000001,Cinkciarz,GBPPLN,unit price,1,53434,53856
000000001,Cinkciarz,USDPLN,unit price,1,44909,45285
000000001,Cinkciarz,NOKPLN,unit price,1,4504,4566
000000002,InternetowyKantor,EURPLN,unit price,1,46708,47008
000000002,InternetowyKantor,CHFPLN,unit price,1,47692,48092
000000002,InternetowyKantor,USDPLN,unit price,1,44971,45271
000000002,InternetowyKantor,GBPPLN,unit price,1,53465,53865
000000002,InternetowyKantor,NOKPLN,unit price,1,4505,4565
000000002,Cinkciarz,CHFPLN,50K price,1,47640,47895
000000002,Cinkciarz,EURPLN,50K price,1,46705,46970
000000002,Cinkciarz,GBPPLN,50K price,1,53505,53803
000000002,Cinkciarz,USDPLN,50K price,1,44972,45229
000000002,Cinkciarz,NOKPLN,50K price,1,4503,4565
000000002,Cinkciarz,CHFPLN,unit price,1,47573,47962
000000002,Cinkciarz,EURPLN,unit price,1,46644,47032
000000002,Cinkciarz,GBPPLN,unit price,1,53440,53857
000000002,Cinkciarz,USDPLN,unit price,1,44915,45288
000000002,Cinkciarz,NOKPLN,unit price,1,4503,4565
000000003,InternetowyKantor,EURPLN,unit price,1,46705,47005
000000003,InternetowyKantor,CHFPLN,unit price,1,47690,48090
000000003,InternetowyKantor,USDPLN,unit price,1,44969,45269
000000003,InternetowyKantor,GBPPLN,unit price,1,53469,53869
000000003,InternetowyKantor,NOKPLN,unit price,1,4506,4566
000000003,Cinkciarz,CHFPLN,50K price,1,47643,47904
000000003,Cinkciarz,EURPLN,50K price,1,46704,46968
000000003,Cinkciarz,GBPPLN,50K price,1,53503,53795
000000003,Cinkciarz,USDPLN,50K price,1,44974,45233
000000003,Cinkciarz,NOKPLN,50K price,1,4503,4564
000000003,Cinkciarz,CHFPLN,unit price,1,47577,47971
000000003,Cinkciarz,EURPLN,unit price,1,46642,47031
000000003,Cinkciarz,GBPPLN,unit price,1,53441,53858
000000003,Cinkciarz,USDPLN,unit price,1,44919,45292
000000003,Cinkciarz,NOKPLN,unit price,1,4503,4565
000000004,InternetowyKantor,EURPLN,unit price,1,46708,47008
000000004,InternetowyKantor,CHFPLN,unit price,1,47697,48097
000000004,InternetowyKantor,USDPLN,unit price,1,44999,45298
000000004,InternetowyKantor,GBPPLN,unit price,1,53480,53881
000000004,InternetowyKantor,NOKPLN,unit price,1,4507,4567
000000004,Cinkciarz,CHFPLN,50K price,1,47641,47895
000000004,Cinkciarz,EURPLN,50K price,1,46706,46970
000000004,Cinkciarz,GBPPLN,50K price,1,53506,53798
000000004,Cinkciarz,USDPLN,50K price,1,44996,45253
000000004,Cinkciarz,NOKPLN,50K price,1,4503,4565
000000004,Cinkciarz,CHFPLN,unit price,1,47576,47966
000000004,Cinkciarz,EURPLN,unit price,1,46643,47032
000000004,Cinkciarz,GBPPLN,unit price,1,53444,53861
000000004,Cinkciarz,USDPLN,unit price,1,44939,45313
000000004,Cinkciarz,NOKPLN,unit price,1,4504,4565
000000005,InternetowyKantor,EURPLN,unit price,1,46708,47008
000000005,InternetowyKantor,CHFPLN,unit price,1,47699,48099
000000005,InternetowyKantor,USDPLN,unit price,1,44997,45298
000000005,InternetowyKantor,GBPPLN,unit price,1,53486,53886
000000005,InternetowyKantor,NOKPLN,unit price,1,4506,4566
000000005,Cinkciarz,CHFPLN,50K price,1,47646,47901
000000005,Cinkciarz,EURPLN,50K price,1,46706,46971
000000005,Cinkciarz,GBPPLN,50K price,1,53518,53812
000000005,Cinkciarz,USDPLN,50K price,1,44997,45254
000000005,Cinkciarz,NOKPLN,50K price,1,4504,4565
000000005,Cinkciarz,CHFPLN,unit price,1,47581,47969
000000005,Cinkciarz,EURPLN,unit price,1,46644,47032
000000005,Cinkciarz,GBPPLN,unit price,1,53455,53872
000000005,Cinkciarz,USDPLN,unit price,1,44939,45312
000000005,Cinkciarz,NOKPLN,unit price,1,4504,4565
000000006,InternetowyKantor,EURPLN,unit price,1,46712,47013
000000006,InternetowyKantor,CHFPLN,unit price,1,47702,48102
000000006,InternetowyKantor,USDPLN,unit price,1,45018,45317
000000006,InternetowyKantor,GBPPLN,unit price,1,53494,53894
000000006,InternetowyKantor,NOKPLN,unit price,1,4507,4567
000000006,Cinkciarz,CHFPLN,50K price,1,47644,47899
000000006,Cinkciarz,EURPLN,50K price,1,46711,46976
000000006,Cinkciarz,GBPPLN,50K price,1,53513,53806
000000006,Cinkciarz,USDPLN,50K price,1,45019,45275
000000006,Cinkciarz,NOKPLN,50K price,1,4504,4566
000000006,Cinkciarz,CHFPLN,unit price,1,47581,47973
000000006,Cinkciarz,EURPLN,unit price,1,46650,47039
000000006,Cinkciarz,GBPPLN,unit price,1,53454,53874
000000006,Cinkciarz,USDPLN,unit price,1,44957,45330
000000006,Cinkciarz,NOKPLN,unit price,1,4504,4566
000000007,InternetowyKantor,EURPLN,unit price,1,46712,47013
000000007,InternetowyKantor,CHFPLN,unit price,1,47707,48107
000000007,InternetowyKantor,USDPLN,unit price,1,45027,45327
000000007,InternetowyKantor,GBPPLN,unit price,1,53500,53900
000000007,InternetowyKantor,NOKPLN,unit price,1,4507,4567
000000007,Cinkciarz,CHFPLN,50K price,1,47651,47906
000000007,Cinkciarz,EURPLN,50K price,1,46711,46976
000000007,Cinkciarz,GBPPLN,50K price,1,53522,53814
000000007,Cinkciarz,USDPLN,50K price,1,45029,45286
000000007,Cinkciarz,NOKPLN,50K price,1,4504,4566
000000007,Cinkciarz,CHFPLN,unit price,1,47584,47972
000000007,Cinkciarz,EURPLN,unit price,1,46649,47038
000000007,Cinkciarz,GBPPLN,unit price,1,53460,53877
000000007,Cinkciarz,USDPLN,unit price,1,44968,45342
000000007,Cinkciarz,NOKPLN,unit price,1,4504,4566
000000008,InternetowyKantor,EURPLN,unit price,1,46715,47015
000000008,InternetowyKantor,CHFPLN,unit price,1,47712,48112
000000008,InternetowyKantor,USDPLN,unit price,1,45026,45326
000000008,InternetowyKantor,GBPPLN,unit price,1,53503,53903
000000008,InternetowyKantor,NOKPLN,unit price,1,4507,4567
000000008,Cinkciarz,CHFPLN,50K price,1,47660,47916
000000008,Cinkciarz,EURPLN,50K price,1,46711,46976
000000008,Cinkciarz,GBPPLN,50K price,1,53534,53826
000000008,Cinkciarz,USDPLN,50K price,1,45029,45287
000000008,Cinkciarz,NOKPLN,50K price,1,4504,4566
000000008,Cinkciarz,CHFPLN,unit price,1,47595,47983
000000008,Cinkciarz,EURPLN,unit price,1,46651,47040
000000008,Cinkciarz,GBPPLN,unit price,1,53474,53891
000000008,Cinkciarz,USDPLN,unit price,1,44973,45347
000000008,Cinkciarz,NOKPLN,unit price,1,4505,4566
000000009,InternetowyKantor,EURPLN,unit price,1,46714,47013
000000009,InternetowyKantor,CHFPLN,unit price,1,47716,48116
000000009,InternetowyKantor,USDPLN,unit price,1,45016,45317
000000009,InternetowyKantor,GBPPLN,unit price,1,53513,53913
000000009,InternetowyKantor,NOKPLN,unit price,1,4506,4566
000000009,Cinkciarz,CHFPLN,50K price,1,47662,47925
000000009,Cinkciarz,EURPLN,50K price,1,46712,46976
000000009,Cinkciarz,GBPPLN,50K price,1,53544,53838
000000009,Cinkciarz,USDPLN,50K price,1,45021,45278
000000009,Cinkciarz,NOKPLN,50K price,1,4504,4565
000000009,Cinkciarz,CHFPLN,unit price,1,47596,47990
000000009,Cinkciarz,EURPLN,unit price,1,46651,47040
000000009,Cinkciarz,GBPPLN,unit price,1,53484,53902
000000009,Cinkciarz,USDPLN,unit price,1,44959,45333
000000009,Cinkciarz,NOKPLN,unit price,1,4504,4565
000000010,InternetowyKantor,EURPLN,unit price,1,46715,47015
000000010,InternetowyKantor,CHFPLN,unit price,1,47726,48126
000000010,InternetowyKantor,USDPLN,unit price,1,45021,45321
000000010,InternetowyKantor,GBPPLN,unit price,1,53517,53917
000000010,InternetowyKantor,NOKPLN,unit price,1,4505,4565
000000010,Cinkciarz,CHFPLN,50K price,1,47673,47930
000000010,Cinkciarz,EURPLN,50K price,1,46712,46977
000000010,Cinkciarz,GBPPLN,50K price,1,53554,53846
000000010,Cinkciarz,USDPLN,50K price,1,45024,45281
000000010,Cinkciarz,NOKPLN,50K price,1,4502,4564
000000010,Cinkciarz,CHFPLN,unit price,1,47598,47991
000000010,Cinkciarz,EURPLN,unit price,1,46656,47045
000000010,Cinkciarz,GBPPLN,unit price,1,53491,53907
000000010,Cinkciarz,USDPLN,unit price,1,44978,45351
000000010,Cinkciarz,NOKPLN,unit price,1,4502,4564
